StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
12,FL,T,5.0%,5.3%,5.9%,5.7%,5.7%,6.0%,6.5%,6.2%,6.3%,6.0%,6.4%,6.7%,6.9%,6.2%,5.7%,4.1%,2.6%,2.4%
12,FL,M,5.2%,5.5%,6.2%,6.0%,5.9%,6.2%,6.7%,6.4%,6.4%,6.1%,6.5%,6.6%,6.8%,5.9%,5.4%,3.9%,2.4%,2.0%
12,FL,F,4.8%,5.1%,5.7%,5.5%,5.5%,5.8%,6.4%,6.1%,6.2%,6.0%,6.4%,6.8%,7.1%,6.5%,6.0%,4.3%,2.9%,2.9%
13,GA,T,5.8%,6.2%,7.2%,7.1%,6.7%,6.7%,6.8%,6.8%,6.6%,6.4%,6.6%,6.3%,6.1%,5.0%,4.2%,2.6%,1.6%,1.3%
13,GA,M,6.2%,6.4%,7.6%,7.5%,7.0%,6.8%,6.9%,6.8%,6.5%,6.3%,6.6%,6.3%,5.9%,4.8%,3.9%,2.3%,1.3%,1.0%
13,GA,F,5.5%,5.9%,6.8%,6.8%,6.4%,6.6%,6.8%,6.8%,6.7%,6.4%,6.5%,6.3%,6.3%,5.3%,4.5%,2.9%,1.8%,1.6%
15,HI,T,5.6%,5.8%,6.4%,5.3%,6.0%,6.7%,7.1%,6.9%,6.3%,5.7%,6.1%,6.1%,6.4%,6.0%,5.3%,3.9%,2.0%,2.5%
15,HI,M,5.8%,6.0%,6.6%,5.6%,6.6%,6.8%,7.3%,7.0%,6.3%,5.7%,6.1%,6.3%,6.1%,5.7%,5.2%,3.7%,1.7%,1.6%
15,HI,F,5.5%,5.6%,6.2%,5.0%,5.4%,6.5%,6.8%,6.8%,6.4%,5.7%,6.0%,6.0%,6.7%,6.3%,5.4%,4.1%,2.2%,3.4%
16,ID,T,5.9%,6.8%,7.5%,7.3%,6.3%,6.3%,6.7%,6.7%,6.6%,5.8%,5.6%,5.8%,6.2%,5.6%,4.7%,3.0%,1.7%,1.6%
16,ID,M,6.0%,7.3%,7.4%,7.4%,6.5%,6.4%,6.7%,6.5%,6.9%,6.0%,5.5%,5.4%,6.4%,5.3%,4.6%,2.9%,1.6%,1.3%
16,ID,F,5.9%,6.4%,7.6%,7.2%,6.1%,6.1%,6.7%,6.9%,6.4%,5.6%,5.6%,6.1%,6.0%,5.8%,4.7%,3.2%,1.8%,1.9%
17,IL,T,5.6%,6.2%,6.4%,6.7%,6.3%,6.7%,6.8%,6.8%,6.5%,6.1%,6.4%,6.5%,6.6%,5.4%,4.5%,2.9%,1.9%,1.8%
17,IL,M,5.8%,6.4%,6.5%,7.0%,6.5%,6.8%,6.9%,7.0%,6.5%,6.2%,6.5%,6.5%,6.4%,5.2%,4.3%,2.5%,1.7%,1.3%
17,IL,F,5.3%,6.0%,6.2%,6.4%,6.2%,6.6%,6.7%,6.6%,6.4%,6.0%,6.4%,6.4%,6.7%,5.7%,4.7%,3.3%,2.1%,2.3%
18,IN,T,6.0%,6.3%,6.9%,6.9%,6.9%,6.5%,6.4%,6.5%,6.3%,5.9%,6.1%,6.2%,6.6%,5.5%,4.5%,2.8%,1.8%,1.7%
18,IN,M,6.2%,6.5%,7.1%,7.2%,7.0%,6.7%,6.4%,6.6%,6.5%,6.0%,6.2%,6.3%,6.5%,5.3%,4.2%,2.5%,1.5%,1.2%
18,IN,F,5.8%,6.0%,6.7%,6.7%,6.8%,6.4%,6.4%,6.3%,6.2%,5.9%,6.1%,6.2%,6.7%,5.8%,4.8%,3.1%,2.1%,2.2%
19,IA,T,5.9%,6.3%,6.8%,7.1%,7.0%,6.2%,6.0%,6.6%,6.2%,5.4%,5.8%,6.1%,6.9%,5.8%,4.8%,3.0%,2.0%,2.2%
19,IA,M,6.1%,6.5%,6.8%,7.5%,7.3%,6.2%,6.0%,6.6%,6.4%,5.5%,5.8%,6.0%,6.9%,5.8%,4.5%,2.7%,1.7%,1.6%
19,IA,F,5.7%,6.1%,6.7%,6.7%,6.8%,6.2%,6.0%,6.6%,6.0%,5.3%,5.7%,6.2%,6.9%,5.9%,5.0%,3.2%,2.4%,2.8%
20,KS,T,6.1%,6.6%,7.1%,7.2%,6.9%,6.4%,6.4%,7.0%,5.9%,5.5%,5.6%,6.0%,6.6%,5.5%,4.6%,2.8%,2.0%,1.9%
20,KS,M,6.3%,6.8%,7.3%,7.4%,7.2%,6.6%,6.5%,7.3%,5.9%,5.5%,5.6%,6.0%,6.4%,5.3%,4.2%,2.5%,1.7%,1.3%
20,KS,F,5.8%,6.3%,7.0%,6.9%,6.6%,6.2%,6.3%,6.6%,6.0%,5.5%,5.6%,6.0%,6.8%,5.6%,4.9%,3.1%,2.2%,2.5%
21,KY,T,5.7%,6.2%,6.6%,6.8%,6.4%,6.4%,6.5%,6.4%,6.3%,5.9%,6.3%,6.6%,6.7%,5.8%,4.8%,2.9%,1.9%,1.7%
21,KY,M,6.0%,6.4%,6.8%,6.9%,6.8%,6.7%,6.6%,6.5%,6.4%,5.9%,6.4%,6.5%,6.6%,5.5%,4.6%,2.6%,1.6%,1.2%
21,KY,F,5.5%,5.9%,6.4%,6.7%,6.0%,6.2%,6.4%,6.3%,6.2%,5.9%,6.2%,6.7%,6.8%,6.1%,5.0%,3.3%,2.1%,2.1%
22,LA,T,6.1%,6.4%,6.9%,6.5%,6.6%,6.3%,6.9%,7.0%,6.4%,5.6%,5.8%,6.2%,6.5%,5.7%,4.6%,2.8%,1.9%,1.6%
22,LA,M,6.3%,6.7%,7.2%,6.8%,7.0%,6.5%,6.9%,7.1%,6.5%,5.7%,5.8%,6.4%,6.3%,5.6%,4.3%,2.5%,1.6%,1.1%
22,LA,F,5.9%,6.1%,6.6%,6.3%,6.3%,6.2%,6.9%,6.9%,6.4%,5.5%,5.9%,6.1%,6.8%,5.9%,4.9%,3.0%,2.2%,2.1%
